測定局コード,日付,時,SO2(ppm),NO(ppm),NO2(ppm),NOx(ppm),CO(ppm),Ox(ppm),NMHC(ppmC),CH4(ppmC),THC(ppmC),SPM(mg/m3),PM2.5(ug/m3),SP(mg/m3),WD(16Dir),WS(m/s),TEMP(℃),HUM(％)
14204010,2017/01/01,01,0.001,0.001,0.018,0.019,,0.017,0.25,2.09,2.34,0.020,9,,NNW,3.0,,
14204010,2017/01/01,02,0.002,0,0.016,0.016,,0.018,0.22,2.07,2.29,0.018,11,,N,2.9,,
14204010,2017/01/01,03,0.002,0,0.017,0.017,,0.018,0.18,2.05,2.23,0.024,18,,N,2.3,,
14204010,2017/01/01,04,0.002,0,0.014,0.014,,0.019,0.18,2.06,2.24,0.025,15,,N,2.7,,
14204010,2017/01/01,05,0.002,0,0.016,0.016,,0.019,0.18,2.05,2.23,0.031,27,,N,2.2,,
14204010,2017/01/01,06,0.002,0,0.011,0.011,,0.022,0.15,2.04,2.19,0.023,10,,NNE,1.0,,
14204010,2017/01/01,07,0.001,0,0.010,0.010,,0.021,0.16,2.04,2.20,0.014,13,,NE,1.0,,
14204010,2017/01/01,08,0.001,0.001,0.009,0.010,,0.022,0.18,2.04,2.22,0.013,3,,ENE,0.6,,
14204010,2017/01/01,09,0.001,0.003,0.009,0.012,,0.023,0.16,2.03,2.19,0.011,9,,NE,1.0,,
14204010,2017/01/01,10,0.001,0.003,0.008,0.011,,0.030,0.14,2.02,2.16,0.009,6,,NE,1.3,,
14204010,2017/01/01,11,0.001,0.002,0.006,0.008,,0.036,0.13,2.01,2.14,0.009,3,,NNE,1.1,,
14204010,2017/01/01,12,0.001,0.001,0.005,0.006,,0.040,0.11,1.99,2.10,0.006,5,,S,2.1,,
14204010,2017/01/01,13,0.001,0.001,0.005,0.006,,0.041,0.12,1.99,2.11,0.005,1,,S,3.7,,
14204010,2017/01/01,14,0.002,0.001,0.004,0.005,,0.044,0.12,1.98,2.10,0.005,3,,S,3.1,,
14204010,2017/01/01,15,0.002,0.001,0.004,0.005,,0.044,0.13,1.97,2.10,0.006,3,,S,2.8,,
14204010,2017/01/01,16,0.002,0.001,0.004,0.005,,0.044,0.09,1.95,2.04,0.009,7,,SSE,2.6,,
14204010,2017/01/01,17,0.002,0.001,0.008,0.009,,0.039,0.12,1.96,2.08,0.006,6,,NE,0.6,,
14204010,2017/01/01,18,0.001,0.001,0.012,0.013,,0.028,0.21,2.00,2.21,0.023,18,,NE,0.7,,
14204010,2017/01/01,19,0.002,0.001,0.014,0.015,,0.023,0.23,2.02,2.25,0.014,8,,NNE,0.7,,
14204010,2017/01/01,20,0.001,0.001,0.020,0.021,,0.017,0.28,2.04,2.32,0.016,8,,NNE,0.9,,
14204010,2017/01/01,21,0.001,0.001,0.018,0.019,,0.020,0.29,2.05,2.34,0.012,3,,NNE,1.2,,
14204010,2017/01/01,22,0.002,0.002,0.020,0.022,,0.015,0.23,2.06,2.29,0.011,10,,NW,0.8,,
14204010,2017/01/01,23,0.002,0.001,0.025,0.026,,0.015,0.25,2.10,2.35,0.013,11,,N,2.3,,
14204010,2017/01/01,24,0.002,0.001,0.016,0.017,,0.027,0.19,2.07,2.26,0.009,7,,N,2.1,,
14204010,2017/01/02,01,0.002,0,0.014,0.014,,0.025,0.17,2.04,2.21,0.012,0,,NNE,1.0,,
14204010,2017/01/02,02,0.001,0,0.011,0.011,,0.024,0.17,2.04,2.21,0.008,0,,NNE,1.2,,
14204010,2017/01/02,03,0.001,0,0.009,0.009,,0.024,0.16,2.03,2.19,0.006,0,,N,1.4,,
14204010,2017/01/02,04,0.001,0,0.008,0.008,,0.026,0.16,2.03,2.19,0.012,7,,NNE,2.1,,
14204010,2017/01/02,05,0.001,0,0.006,0.006,,0.028,0.14,2.02,2.16,0.009,6,,NNE,1.6,,
14204010,2017/01/02,06,0.001,0,0.006,0.006,,0.027,0.15,2.02,2.17,0.008,6,,NNE,1.3,,
14204010,2017/01/02,07,0.001,0,0.009,0.009,,0.021,0.15,2.03,2.18,0.006,2,,CALM,0.3,,
14204010,2017/01/02,08,0.001,0.001,0.011,0.012,,0.020,0.17,2.04,2.21,0.010,0,,CALM,0.4,,
14204010,2017/01/02,09,0.001,0.002,0.011,0.013,,0.022,0.17,2.03,2.20,0.008,2,,NNE,0.8,,
14204010,2017/01/02,10,0.001,0.003,0.010,0.013,,0.025,0.16,2.02,2.18,0.010,3,,CALM,0.4,,
14204010,2017/01/02,11,0.003,0.003,0.010,0.013,,0.031,0.16,2.02,2.18,0.010,0,,SE,1.1,,
14204010,2017/01/02,12,0.003,0.002,0.007,0.009,,0.040,0.14,1.99,2.13,0.013,8,,S,4.2,,
14204010,2017/01/02,13,0.003,0.002,0.007,0.009,,0.040,0.14,1.98,2.12,0.012,7,,S,2.4,,
14204010,2017/01/02,14,0.002,0.001,0.004,0.005,,0.043,0.13,1.97,2.10,0.010,3,,S,4.1,,
14204010,2017/01/02,15,0.002,0,0.002,0.002,,0.044,0.11,1.95,2.06,0.011,11,,W,1.5,,
14204010,2017/01/02,16,0.006,0.002,0.017,0.019,,0.034,0.12,1.97,2.09,0.019,10,,NE,1.3,,
14204010,2017/01/02,17,0.012,0.002,0.032,0.034,,0.022,0.20,2.04,2.24,0.026,21,,NE,0.9,,
14204010,2017/01/02,18,0.009,0.002,0.042,0.044,,0.010,0.27,2.05,2.32,0.035,34,,N,0.9,,
14204010,2017/01/02,19,0.007,0.005,0.044,0.049,,0.006,0.64,2.06,2.70,0.036,31,,CALM,0.3,,
14204010,2017/01/02,20,0.004,0.006,0.036,0.042,,0.006,0.64,2.08,2.72,0.029,26,,NE,0.6,,
14204010,2017/01/02,21,0.003,0.003,0.030,0.033,,0.006,0.43,2.07,2.50,0.023,16,,NE,1.0,,
14204010,2017/01/02,22,0.002,0.006,0.032,0.038,,0.004,0.46,2.11,2.57,0.026,21,,NE,1.0,,
14204010,2017/01/02,23,0.002,0.007,0.031,0.038,,0.003,0.45,2.14,2.59,0.023,21,,N,0.7,,
14204010,2017/01/02,24,0.002,0.005,0.028,0.033,,0.005,0.39,2.15,2.54,0.022,16,,N,2.3,,
14204010,2017/01/03,01,0.002,0.001,0.024,0.025,,0.013,0.28,2.12,2.40,0.017,5,,NNE,0.9,,
14204010,2017/01/03,02,0.001,0.001,0.019,0.020,,0.016,0.24,2.09,2.33,0.013,6,,CALM,0.4,,
